round, result, cumulative, average
1,0,0,0.0
2,0,0,0.0
3,1,1,0.3333333333333333
4,1,2,0.5
5,1,3,0.6
6,1,4,0.6666666666666666
7,1,5,0.7142857142857143
8,1,6,0.75
9,1,7,0.7777777777777778
10,1,8,0.8
11,1,9,0.8181818181818182
12,0,9,0.75
13,1,10,0.7692307692307693
14,1,11,0.7857142857142857
15,1,12,0.8
16,1,13,0.8125
17,0,13,0.7647058823529411
18,0,13,0.7222222222222222
19,1,14,0.7368421052631579
20,1,15,0.75
21,0,15,0.7142857142857143
22,1,16,0.7272727272727273
23,1,17,0.7391304347826086
24,1,18,0.75
25,1,19,0.76
26,1,20,0.7692307692307693
27,1,21,0.7777777777777778
28,1,22,0.7857142857142857
29,0,22,0.7586206896551724
30,1,23,0.7666666666666667
31,1,24,0.7741935483870968
32,1,25,0.78125
33,1,26,0.7878787878787878
34,0,26,0.7647058823529411
35,1,27,0.7714285714285715
36,0,27,0.75
37,1,28,0.7567567567567568
38,1,29,0.7631578947368421
39,1,30,0.7692307692307693
40,1,31,0.775
41,0,31,0.7560975609756098
42,0,31,0.7380952380952381
43,1,32,0.7441860465116279
44,0,32,0.7272727272727273
45,1,33,0.7333333333333333
46,1,34,0.7391304347826086
47,1,35,0.7446808510638298
48,1,36,0.75
49,1,37,0.7551020408163265
50,0,37,0.74
51,1,38,0.7450980392156863
52,1,39,0.75
53,0,39,0.7358490566037735
54,1,40,0.7407407407407407
55,0,40,0.7272727272727273
56,1,41,0.7321428571428571
57,1,42,0.7368421052631579
58,1,43,0.7413793103448276
59,1,44,0.7457627118644068
60,1,45,0.75
61,0,45,0.7377049180327869
62,1,46,0.7419354838709677
63,1,47,0.746031746031746
64,1,48,0.75
65,0,48,0.7384615384615385
66,1,49,0.7424242424242424
67,1,50,0.746268656716418
68,1,51,0.75
69,1,52,0.7536231884057971
70,0,52,0.7428571428571429
71,1,53,0.7464788732394366
72,0,53,0.7361111111111112
73,0,53,0.726027397260274
74,1,54,0.7297297297297297
75,0,54,0.72
76,1,55,0.7236842105263158
77,1,56,0.7272727272727273
78,1,57,0.7307692307692307
79,1,58,0.7341772151898734
80,1,59,0.7375
81,1,60,0.7407407407407407
82,0,60,0.7317073170731707
83,0,60,0.7228915662650602
84,1,61,0.7261904761904762
85,0,61,0.7176470588235294
86,1,62,0.7209302325581395
87,0,62,0.7126436781609196
88,1,63,0.7159090909090909
89,1,64,0.7191011235955056
90,1,65,0.7222222222222222
91,0,65,0.7142857142857143
92,1,66,0.717391304347826
93,1,67,0.7204301075268817
94,1,68,0.723404255319149
95,1,69,0.7263157894736842
96,1,70,0.7291666666666666
97,0,70,0.7216494845360825
98,1,71,0.7244897959183674
99,1,72,0.7272727272727273
100,1,73,0.73
