round, result, cumulative, average
1,1,1,1.0
2,1,2,1.0
3,1,3,1.0
4,1,4,1.0
5,1,5,1.0
6,0,5,0.8333333333333334
7,1,6,0.8571428571428571
8,0,6,0.75
9,0,6,0.6666666666666666
10,1,7,0.7
11,1,8,0.7272727272727273
12,1,9,0.75
13,1,10,0.7692307692307693
14,1,11,0.7857142857142857
15,1,12,0.8
16,1,13,0.8125
17,1,14,0.8235294117647058
18,1,15,0.8333333333333334
19,1,16,0.8421052631578947
20,1,17,0.85
21,0,17,0.8095238095238095
22,1,18,0.8181818181818182
23,1,19,0.8260869565217391
24,1,20,0.8333333333333334
25,1,21,0.84
26,1,22,0.8461538461538461
27,1,23,0.8518518518518519
28,1,24,0.8571428571428571
29,0,24,0.8275862068965517
30,0,24,0.8
31,0,24,0.7741935483870968
32,1,25,0.78125
33,1,26,0.7878787878787878
34,1,27,0.7941176470588235
35,1,28,0.8
36,1,29,0.8055555555555556
37,1,30,0.8108108108108109
38,1,31,0.8157894736842105
39,1,32,0.8205128205128205
40,1,33,0.825
41,1,34,0.8292682926829268
42,1,35,0.8333333333333334
43,0,35,0.813953488372093
44,1,36,0.8181818181818182
45,1,37,0.8222222222222222
46,1,38,0.8260869565217391
47,1,39,0.8297872340425532
48,1,40,0.8333333333333334
49,1,41,0.8367346938775511
50,1,42,0.84
51,1,43,0.8431372549019608
52,1,44,0.8461538461538461
53,1,45,0.8490566037735849
54,1,46,0.8518518518518519
55,1,47,0.8545454545454545
56,0,47,0.8392857142857143
57,1,48,0.8421052631578947
58,1,49,0.8448275862068966
59,1,50,0.847457627118644
60,1,51,0.85
61,1,52,0.8524590163934426
62,1,53,0.8548387096774194
63,1,54,0.8571428571428571
64,1,55,0.859375
65,1,56,0.8615384615384616
66,1,57,0.8636363636363636
67,1,58,0.8656716417910447
68,1,59,0.8676470588235294
69,1,60,0.8695652173913043
70,0,60,0.8571428571428571
71,1,61,0.8591549295774648
72,1,62,0.8611111111111112
73,0,62,0.8493150684931506
74,1,63,0.8513513513513513
75,0,63,0.84
76,0,63,0.8289473684210527
77,1,64,0.8311688311688312
78,0,64,0.8205128205128205
79,1,65,0.8227848101265823
80,1,66,0.825
81,1,67,0.8271604938271605
82,1,68,0.8292682926829268
83,1,69,0.8313253012048193
84,1,70,0.8333333333333334
85,0,70,0.8235294117647058
86,1,71,0.8255813953488372
87,1,72,0.8275862068965517
88,1,73,0.8295454545454546
89,1,74,0.8314606741573034
90,1,75,0.8333333333333334
91,1,76,0.8351648351648352
92,0,76,0.8260869565217391
93,0,76,0.8172043010752689
94,0,76,0.8085106382978723
95,1,77,0.8105263157894737
96,1,78,0.8125
97,1,79,0.8144329896907216
98,0,79,0.8061224489795918
99,1,80,0.8080808080808081
100,1,81,0.81
