round, result, cumulative, average,type
1,0,0,0,class
2,0,0,0,class
3,1,1,0.333333333,class
4,1,2,0.5,class
5,1,3,0.6,class
6,1,4,0.666666667,class
7,1,5,0.714285714,class
8,1,6,0.75,class
9,1,7,0.777777778,class
10,1,8,0.8,class
11,1,9,0.818181818,class
12,0,9,0.75,class
13,1,10,0.769230769,class
14,1,11,0.785714286,class
15,1,12,0.8,class
16,1,13,0.8125,class
17,0,13,0.764705882,class
18,0,13,0.722222222,class
19,1,14,0.736842105,class
20,1,15,0.75,class
21,0,15,0.714285714,class
22,1,16,0.727272727,class
23,1,17,0.739130435,class
24,1,18,0.75,class
25,1,19,0.76,class
26,1,20,0.769230769,class
27,1,21,0.777777778,class
28,1,22,0.785714286,class
29,0,22,0.75862069,class
30,1,23,0.766666667,class
31,1,24,0.774193548,class
32,1,25,0.78125,class
33,1,26,0.787878788,class
34,0,26,0.764705882,class
35,1,27,0.771428571,class
36,0,27,0.75,class
37,1,28,0.756756757,class
38,1,29,0.763157895,class
39,1,30,0.769230769,class
40,1,31,0.775,class
41,0,31,0.756097561,class
42,0,31,0.738095238,class
43,1,32,0.744186047,class
44,0,32,0.727272727,class
45,1,33,0.733333333,class
46,1,34,0.739130435,class
47,1,35,0.744680851,class
48,1,36,0.75,class
49,1,37,0.755102041,class
50,0,37,0.74,class
51,1,38,0.745098039,class
52,1,39,0.75,class
53,0,39,0.735849057,class
54,1,40,0.740740741,class
55,0,40,0.727272727,class
56,1,41,0.732142857,class
57,1,42,0.736842105,class
58,1,43,0.74137931,class
59,1,44,0.745762712,class
60,1,45,0.75,class
61,0,45,0.737704918,class
62,1,46,0.741935484,class
63,1,47,0.746031746,class
64,1,48,0.75,class
65,0,48,0.738461538,class
66,1,49,0.742424242,class
67,1,50,0.746268657,class
68,1,51,0.75,class
69,1,52,0.753623188,class
70,0,52,0.742857143,class
71,1,53,0.746478873,class
72,0,53,0.736111111,class
73,0,53,0.726027397,class
74,1,54,0.72972973,class
75,0,54,0.72,class
76,1,55,0.723684211,class
77,1,56,0.727272727,class
78,1,57,0.730769231,class
79,1,58,0.734177215,class
80,1,59,0.7375,class
81,1,60,0.740740741,class
82,0,60,0.731707317,class
83,0,60,0.722891566,class
84,1,61,0.726190476,class
85,0,61,0.717647059,class
86,1,62,0.720930233,class
87,0,62,0.712643678,class
88,1,63,0.715909091,class
89,1,64,0.719101124,class
90,1,65,0.722222222,class
91,0,65,0.714285714,class
92,1,66,0.717391304,class
93,1,67,0.720430108,class
94,1,68,0.723404255,class
95,1,69,0.726315789,class
96,1,70,0.729166667,class
97,0,70,0.721649485,class
98,1,71,0.724489796,class
99,1,72,0.727272727,class
100,1,73,0.73,class
1,1,1,1,sim
2,1,2,1,sim
3,1,3,1,sim
4,1,4,1,sim
5,1,5,1,sim
6,1,6,1,sim
7,1,7,1,sim
8,1,8,1,sim
9,1,9,1,sim
10,1,10,1,sim
11,1,11,1,sim
12,1,12,1,sim
13,1,13,1,sim
14,1,14,1,sim
15,1,15,1,sim
16,1,16,1,sim
17,1,17,1,sim
18,1,18,1,sim
19,1,19,1,sim
20,1,20,1,sim
21,1,21,1,sim
22,1,22,1,sim
23,1,23,1,sim
24,1,24,1,sim
25,1,25,1,sim
26,1,26,1,sim
27,1,27,1,sim
28,1,28,1,sim
29,1,29,1,sim
30,1,30,1,sim
31,1,31,1,sim
32,1,32,1,sim
33,1,33,1,sim
34,1,34,1,sim
35,1,35,1,sim
36,1,36,1,sim
37,1,37,1,sim
38,1,38,1,sim
39,1,39,1,sim
40,1,40,1,sim
41,1,41,1,sim
42,1,42,1,sim
43,1,43,1,sim
44,1,44,1,sim
45,1,45,1,sim
46,1,46,1,sim
47,1,47,1,sim
48,1,48,1,sim
49,1,49,1,sim
50,1,50,1,sim
51,1,51,1,sim
52,1,52,1,sim
53,1,53,1,sim
54,1,54,1,sim
55,1,55,1,sim
56,1,56,1,sim
57,1,57,1,sim
58,1,58,1,sim
59,1,59,1,sim
60,1,60,1,sim
61,1,61,1,sim
62,1,62,1,sim
63,1,63,1,sim
64,1,64,1,sim
65,1,65,1,sim
66,1,66,1,sim
67,1,67,1,sim
68,1,68,1,sim
69,1,69,1,sim
70,1,70,1,sim
71,1,71,1,sim
72,1,72,1,sim
73,1,73,1,sim
74,1,74,1,sim
75,1,75,1,sim
76,1,76,1,sim
77,1,77,1,sim
78,1,78,1,sim
79,1,79,1,sim
80,1,80,1,sim
81,1,81,1,sim
82,1,82,1,sim
83,1,83,1,sim
84,1,84,1,sim
85,1,85,1,sim
